Dish Name,Meal Type,Key Ingredient,Ingredient List,Instructions
Gopalkala,Breakfast,Poha,"A. Base Mixture:
1/2 cup Thick poha / Flattened rice
1/2 cup Curd
Salt to taste
1/2 tsp Sugar
1/2 cup Murmure / Puffed rice
1/2 cup Jawar lahya / Puffed jawar
1 tbsp Pomegranate
1 tbsp Finely chopped Cucumber
1 tbsp Shredded fresh Coconut
Coriander leaves
2 tsp Soaked Chana dal

B. Tadka:
1 tsp Ghee
1/2 Cumin seeds
A pinch of Hing / Asafoetida
1 finely chopped Green chili
1/2 tsp Grated Ginger","A. Base recipe: 
1. Wash poha well with running water 2-3 times. Drain and keep it aside. 
2. Take curd into bowl, add salt and sugar. Mix well. 
3. Add washed poha into the curd mix. 
4. Roast the puffed rice and puffed jowar and add to the mix. 
5. Add the pomegranate, cucumber, fresh coriander leaves and coconut. 
6. Add the soaked chana dal. You can also roast it and add.

B. Adding Tadka:
1. Heat ghee in the tadka pan.
2. Add cumin seeds, asafoetida, green chili and ginger. 
3. Fry well, and add to the gopalkala.
4. Mix well and serve"
Batata Poha,Breakfast,Poha,"A. Tadka:
1/2 tsp Mustard seeds
1/2 tsp Cumin seeds
1 chopped Green Chilli
10-12 Curry Leaves
2 tbsp Peanuts

B. Poha
1 cup Poha
2 medium Potato
Salt to taste
1 tsp Turmeric powder
1/2 tsp Powdered sugar
1/2 Lemon","1. Wash poha well with running water 2-3 times. Drain and keep it aside. 

A. Tadka:
1. Add 2 tsp oil in the pan and heat it. 
2. Add mustard seeds to it, and let crackle.
3. Add peanuts and roast them on a low flame till crisp.
4. Turn the flame to medium and add cumin seeds and let them turn brown
5. Add green chillies and curry leaves.

B. Making Poha:
1. Add chopped potatoes to the mix above along with salt and turmeric powder
2. Add the fluffed poha and mix well.
3. Add sugar and lemon.
4. Adjust the taste. 

C. Making the poha extra fluffy (Optional):
1. Sprinkle one fistful of water on the cooked poha.
2. Heat water in a separate large bowl and once boiling, keep the poha utensil on top of it.
3. Cover the poha utensil and let it steam for 5 minutes.
4. Fluff the poha with a spoon before serving. "
Chura Matar,Breakfast,Poha,"For soaking the poha:

2 cups Poha (flattened rice)
Water (enough to rinse and soak)


For preparing the masala:

2 tbsp Ghee (clarified butter)
1 tsp Cumin Seeds
1-inch piece of Ginger, finely chopped
2 Green Chilies, finely chopped
1 cup Green Peas (fresh or frozen)
Salt to taste
½ tsp Black Pepper Powder
½ tsp Garam Masala
1 tsp Sugar

For garnishing:

Fresh Coriander Leaves, chopped
Juice of 1 Lemon","1. Soak the Poha:
Place the poha in a colander and rinse it under running water. Drain and let it sit for about 10 minutes to soften.

2. Prepare the Masala:
Heat ghee in a pan over medium heat.
Add cumin seeds and let them splutter.
Add finely chopped ginger and green chilies. Sauté for a minute until fragrant.
Add green peas and cook until they are tender.
Season with salt, black pepper powder, garam masala, and sugar. Mix well.

3. Combine Poha with Masala:

Add the soaked poha to the pan. Mix gently to combine with the masala, ensuring the poha is evenly coated.
Cook for a few minutes until the poha is heated through.

4. Garnish and Serve:
Turn off the heat. Add chopped fresh coriander leaves and squeeze the juice of one lemon over the dish. Mix gently and serve hot."
Dahi Chura,Breakfast,Poha,"1 cup Thick poha/ Flattened rice
1 cup Curd
Crushed jaggery as per taste","1. Wash poha well with running water 2-3 times. Drain and keep it aside.
2. Take curd in a bowl, and whipe it to a smooth consistency, Add poha to it and mix well.
3. Serve topped with crushed jaggery. "
Dadpe Pohe,Breakfast,Poha,"A. Onion Mix:
1 Onion, chopped
1 tsp Sugar
Salt to taste
2 Green Chillies
Coriander Leaves
1/2 Lemon Juice

B. Making Tadka:
1 tsp Oil
1 tsp Mustard Seeds
10-12 Curry Leaves
1 tbsp Peanuts

C. Making Poha:
1 Cup Poha
Handful of Water
Shredded Coconut (optional)","A. Onion mix:
1. In a bowl, add chopped onion, salt and sugar. Mix well with hand and squeeze lightly to release onion juices.
2. Mix coriander leaves, green chillies and lemon juice. Mix and keep aside.

B. Making Tadka:
1. In a pan, heat some oil. 
2. Add mustard seeds, curry leaves and peanuts. Roast till peanuts are crunchy.
3. Add the tadka to the onions mix. 

C. Making Poha:
1. Sprinkle some water on the poha and let it rest for 5 minutes. 
2. Add the poha to the onion mixture.
3. Garnish the poha with shredded coconut and coriander leaves and serve."
Green Poha,Breakfast,Poha,"A. For preparing the green paste:
1 cup fresh cilantro (coriander leaves), tightly packed
½ cup fresh mint leaves
2-3 green chilies
1-inch piece of ginger
2 tbsp water

B. For soaking the poha:
2 cups thick poha (flattened rice)
Water (enough to rinse and soak)

C. For preparing the tempering:
2 tbsp oil
1 tsp mustard seeds
1 tsp cumin seeds
A pinch of asafetida (hing)
10-12 curry leaves
1 medium onion, finely chopped
Salt to taste

D. For garnishing:
Fresh cilantro leaves, chopped
Fresh lemon juice","A. Prepare the Green Paste:
1. In a blender, combine fresh cilantro, mint leaves, green chilies, ginger, and water. Blend until you achieve a smooth paste. Set aside.

B. Soak the Poha:
1. Place the thick poha in a colander and rinse it under running water until it softens. Drain and set aside.

C. Prepare the Tempering:
1. Heat oil in a pan over medium heat.
2. Add mustard seeds and cumin seeds. Let them splutter.
3. Add a pinch of asafoetida and curry leaves. Sauté briefly.
4. Add finely chopped onion and cook until translucent.

D. Combine Poha with Green Paste:
1. Add the prepared green paste to the pan. Cook for a few minutes until the raw smell disappears.
2. Add the soaked poha and salt to taste. Mix gently to combine, ensuring the poha is evenly coated with the green paste.
3. Cook for a few more minutes until heated through.

E. Garnish and Serve:
1. Turn off the heat. Garnish with chopped fresh cilantro leaves and a squeeze of fresh lemon juice.
2. Serve hot as a breakfast or snack.



"
Indori Poha,Breakfast,Poha,"A. For soaking the poha:

2 cups Thick Poha (flattened rice)
Water (enough to rinse and soak)


B. For preparing the tempering:

2 tablespoons Oil
1 teaspoon Mustard Seeds
1 teaspoon Fennel Seeds
A pinch of Asafoetida (Hing)
1-2 Green Chilies, finely chopped
8-10 Curry Leaves
1 medium Onion, finely chopped
Salt to taste
½ teaspoon Turmeric Powder
1 teaspoon Sugar

C. For garnishing:

Fresh Coriander Leaves, chopped
Sev (crunchy chickpea noodles)
Pomegranate Seeds
Jeeravan Masala (a special spice mix)
Lemon Wedges","A. Soak the Poha:
1. Place the thick poha in a colander and rinse it gently under running water.
2. Allow it to sit for about 10 minutes to soften.

B. Prepare the Tempering:
1. Heat oil in a pan over medium heat.
2. Add mustard seeds and let them splutter.
3. Add fennel seeds and a pinch of asafoetida. Sauté briefly.
4. Add finely chopped green chilies and curry leaves. Sauté for a few seconds.
5. Add finely chopped onion and cook until translucent.
6. Add salt, turmeric powder, and sugar. Mix well.

C. Combine Poha with Tempering:
1. Add the soaked poha to the pan.
2. Mix gently to combine, ensuring the poha is evenly coated with the tempering.
3. Cover the pan and let it steam on low heat for 2-3 minutes.

D. Garnish and Serve:
1. Turn off the heat.
2. Garnish with chopped fresh coriander leaves, sev, pomegranate seeds, and a sprinkle of jeeravan masala.
3. Serve hot with lemon wedges on the side.
"
Cucumber Poha,Breakfast,Poha,"A. For soaking the poha:
2 cups Thin poha (flattened rice)
Water as needed

B. For preparing the tempering:
1 tbsp Oil
½ tsp Mustard seeds
½ tsp Cumin seeds
1-2 Green chilies, finely chopped
A few Curry leaves)
2 tbsp Peanuts

C. For mixing with poha:
1 medium Cucumber, finely chopped
Salt to taste
½ tsp Sugar (optional)
1 tsp Lemon juice
1 tbsp Fresh coriander leaves, chopped","A. Soak the Poha:
1. Place the thin poha in a colander and rinse it under running water.
2. Allow it to drain and soften for about 5 minutes.

B. Prepare the Tempering:
1. Heat oil in a pan over medium heat.
2. Add mustard seeds and let them splutter.
3. Add cumin seeds and sauté briefly.
4. Add chopped green chilies, curry leaves, and peanuts. Sauté until the peanuts are roasted.

C. Combine Poha with Tempering:
1. Add the softened poha to the pan.
2. Add finely chopped cucumber, salt, and sugar (if using).
3. Mix gently to combine all ingredients.
4. Cook for 2-3 minutes until heated through.

D. Garnish and Serve:1. Turn off the heat.
2. Add lemon juice and chopped fresh coriander leaves.
3. Mix well and serve immediately."
Besan Cheela,Breakfast,Besan,"A. For preparing the batter:

1 cup Besan (Gram flour)
¼ tsp Turmeric powder
½ tsp Red chili powder
½ tsp Cumin seeds
Salt to taste
Water as needed

B. For adding to the batter:

1 Onion, finely chopped
1 Tomato, finely chopped (optional)
1 Green chili, finely chopped
2 tbsp Coriander leaves, chopped (optional)
1 inch Ginger, grated (optional)

C. For cooking the cheela:

Oil or ghee for greasing and cooking","A. Prepare the Batter:

1. In a mixing bowl, combine besan, turmeric powder, red chili powder, cumin seeds, and salt.
2. Gradually add water while whisking to form a smooth, lump-free batter of pouring consistency.

B. Add Vegetables to the Batter:

1. Add finely chopped onion, tomato, green chili, coriander leaves, and grated ginger to the batter.
2. Mix well to evenly incorporate the vegetables.

C. Cook the Cheela:

1. Heat a non-stick tawa or griddle over medium heat and lightly grease it with oil or ghee.
2. Pour a ladleful of batter onto the tawa and spread it gently to form a thin pancake.
3. Drizzle a little oil or ghee around the edges and on top of the cheela.
4. Cook until the edges start to lift, and the bottom turns golden brown.
5. Flip the cheela carefully and cook the other side until golden brown."
Sooji idli,Breakfast,Sooji,"2 tbsp Ghee
10 Cashew halves (optional)
1 tsp Mustard seeds
1/2 tsp Urad dal
1/2 tsp Chana dal
1/2 tsp Cumin seeds
Handful Curry leaves chopped
A pinch of Asafoetida
1 cup Semolina/Rava/Sooji
1 cup Curd
1/2 tsp Salt
1/2 cup Water
2 tbsp Coriander chopped
1 tsp Eno salt (unflavoured)
2 tbsp Water

","A. Making Batter:
1. Add ghee in a pan and splutter mustard seeds in it.
2. Add urad dal, chana dal, cumin seeds and cook till they change color.
3. Add asafoetida and curry leaves.
4. Add semolina and roast till it turns aromatic.
5. Set aside and let it cool.
6. Add curd and mix well.
7. Add salt and water and mix. The batter should be thick but also flowy.
8. Add coriander. Cover and allow to rest for 15 minutes.

B. Making Idlis:
1. Prepare the steamer for steaming.  Boil the water and oil its plates.
2. Add eno salt in the batter and 2 tbsp of water. Mix together with water to ensure the salt spreads evenly.
3. Keep one piece of cashew half in each steamer container and fill it to 3/4th volume with the batter.
4. Steam the idlis for 12-15 minutes.
5. Open and serve hot. "
Sooji cheela,Breakfast,Sooji,"A. For preparing the batter:

1 cup Suji (Semolina)
Salt to taste
Water as needed

B. For adding to the batter:
1 Onion, finely chopped
1 Green chili, finely chopped
5-6 Curry leaves, finely chopped
1/2 tsp Mustard seeds

C. For cooking the cheela:
Oil for greasing and cooking","A. Prepare the Batter:
1. In a mixing bowl, combine suji and salt.
2. Gradually add water while stirring to form a smooth batter of medium consistency. Let it rest for 10-15 minutes.

B. Add Vegetables and Spices to the Batter:

1. After resting, add finely chopped onion, green chili, curry leaves and mustard seeds to the batter.
2. Mix well

C. Cook the Cheela:

1. Heat a non-stick tawa or griddle over medium heat and lightly grease it with oil.
2. Pour a ladleful of batter onto the tawa and spread it gently to form a thin pancake.
3. Drizzle a little oil around the edges and on top of the cheela.
4. Cook until the edges start to lift, and the bottom turns golden brown.
5. Flip the cheela carefully and cook the other side until golden brown."""
Vegetable Sooji cheela,Breakfast,Sooji,"A. For preparing the batter:

1 cup Suji (Semolina)
Salt to taste
Water as needed

B. For adding to the batter:
1 Onion, finely chopped
1 Tomato, finely chopped
1/4 cup Carrot, finely chopped
1/4 cup Capsicum, finely chopped
1 Green chili, finely chopped
2 tbsp Coriander leaves, chopped
1/2 tsp Cumin seeds
1/4 tsp Red chili powder

C. For cooking the cheela:
Oil for greasing and cooking","A. Prepare the Batter:

1. In a mixing bowl, combine suji and salt.
2. Gradually add water while stirring to form a smooth batter of medium consistency. Let it rest for 10-15 minutes.

B. Add Vegetables and Spices to the Batter:

1. After resting, add finely chopped onion, tomato, carrot, capsicum, green chili, coriander leaves, cumin seeds, and red chili powder to the batter.
2. Mix well

C. Cook the Cheela:

1. Heat a non-stick tawa or griddle over medium heat and lightly grease it with oil.
2. Pour a ladleful of batter onto the tawa and spread it gently to form a thin pancake.
3. Drizzle a little oil around the edges and on top of the cheela.
4. Cook until the edges start to lift, and the bottom turns golden brown.
5. Flip the cheela carefully and cook the other side until golden brown."
Rava Uttapam,Breakfast,Sooji,"A. For making batter:
1 cup semolina/sooji/rava
1/2 cup Curd
Salt as per taste
2 tsp Ginger chopped
2 tbsp Curry leaves chopped
2 tsp Green chillies chopped
1 cup Water

B. For making uttapam:
2 tbsp Onion chopped
2 tbsp Tomato chopped
Oil as needed","A. Making Batter:
1. Take sooji in a cup and add curd and salt to it.
2. Add ginger, curry leaves and green chillies. Mix well.
3. Add water to the batter and mix well. Allow the batter to rest for 15 minutes so that the sooji can absorb the water.

B. Making Uttapam:
1. Adjust water in the batter if needed.
2. Heat a tawa and and spread oil on it.
3. Turn the flame to high, and once the tawa is very hot, spread the uttapam batter on it in an even circle. 
4. Turn the flame to medium and let it cook.
5. After 30 seconds, add chopped vegetables of your choice to the top of the uttapam, and add a dash of oil. Press the vegetables down gently to help them stick to the surface.
6. Once the lower side it well-cooked, turn the uttapam upside down on the pan. Turn the flame to high and let the vegetables brown a little.
7. Serve hot. "
