Dish Name,Meal Type,Key Ingredient,Ingredient List,Instructions
Kothimeera Upma,Breakfast,Sooji,"A. For Green Paste:
2 bunches Coriander leaves
2 Green chilies
1 tsp Cumin seeds
2 inch Ginger

B. For Roasting:
1 1/2 cup Semolina/Rava/Sooji
5-6 Cashew nuts (optional)
1 tsp Oil

C. For Tadka:
1 1/2 tbsp Clarified Butter/Ghee
1 tsp Bengal gram/Chana dal
1 tsp Black gram/Urad dal
1 tsp Mustard seeds
Handful Curry leaves
1 Onion chopped 
1/2 tsp Turmeric powder

D. For Final Upma:
3 cups water
Salt to taste
Lemon Juice to taste (optional)","A. Making Green Paste:
1. Grind coriander leaves, green chilies, cumin seeds and ginger into a paste.

B. Roasting Semolina and Cashews:

1. In a pan, fry semolina until it changes color. Transfer it to a plate.
2. Add oil and fry cashews. Keep aside. This step is optional.

C. Making Tadka:

1. In the same pan, heat 1 1/2 tbsp ghee.
2. Add 1 tsp each of chana dal, urad dal and mustard seeds, and 1/2 tsp cumin seeds. Fry them.
3. Add chopped onion and cook till translucent.
4. Add green chili with curry leaves, and fry them.
5. Add the prepared green paste made above and cook for a minute.
6. Add turmeric powder and mix it well.

D. Making Upma:
1. Add 3 cups water to the tadka above and bring to a boil.
2. Add salt as per taste
3. Start adding the roasted semolina to the boil, with continuous stirring to avoid lumps. 
4. Once the upma is well cooked and starts leaving the pan, switch off the stove and serve hot.
5. Add lemon juice and ghee on top for additional taste."
Khara Bath,Breakfast,Sooji,"A. Vangi Bath Masala:
1 tsp Oil
3 Kashmiri red chilli, dried
1 tsp Urad dal
1 tsp Chana dal
¼ tsp Fenugreek seeds
1 tsp Coriander seeds
¾ tsp Poppy seeds
1 inch Cinnamon stick
3 Cardamom
3 Cloves
2 tsp Dessicated coconut

B. For Tadka:
2 tbsp Ghee
1 tsp Mustard seeds
1 tsp Urad dal
1 tsp Chana dal
10 halves Cashew nuts
6-7 Curry Leaves
1/2 Onion chopped
1 inch Ginger
1 slit Green Chilli
1 Tomato chopped
1/4th Capsicum chopped
3 Beans
1/2 Carrot chopped
1/4th cup Peas
1 tsp Salt
1/4th tsp Turmeric
1 tsp Vangi Bath masala

C. Upma Preparation
1/2 cup Semolina/Sooji/Rava
1.5 cup Water
2 tbsp Coconut shredded
2 tbsp Coriander
1 tsp Lemon juice
","A. Vangi Bath Masala:
1. Add 1 tsp oil in a pan.
2. Roast all ingredients mentioned in the pan. Keep aside to cool down.
3. Grind them finely to make the vangi bath masala.

B. Roasting Semolina:
1. In a pan, fry semolina until it changes color. Transfer it to a plate.

C. Making Tadka:
1. Add ghee to pan, and fry mustard seeds, urad dal and chana dal in it till they change color.
2. Add cashew nuts and curry leaves
3. Add onion, ginger and green chilli and fry till the onion turns pink.
4. Add tomato and cook till mushy.
5. Add the capsicum, beans, carrots and peas and top with salt, turmeric and vangi bath masala till the vegetables are cooked.

D. Making Upma:
1. Add 1.5 cups of water to the tadka and bring to a boil.
2. Slowly add roasted sooji to the water and stir continuously to avoid lumps.
3. Cover and cook for 5 minutes of low-medium flame.
4. Remove the cover and cook till upma absorbs all water and leaves the pan.
5. Garnish with shredded coconut, coriander leaves and lemon juice."
Temple Style,Breakfast,Sooji,"A. For Tadka:
2 tbsp Oil
1 tsp Mustard seeds
1/2 tsp Chana dal
1/2 tsp Urad dal
1 Dry red chilli
5-6 Curry leaves
1/2 Onion chopped
2 Green chillies chopped
1 inch Ginger chopped

B. For Upma:
3 cups Water
1/2 tsp Sugar
1/2 tsp Salt
1 tsp Ghee
1 cup Semolina/Sooji/Rava
1/2 Lemon
2 tbsp Coriander leaves




","A. Roasting Semolina:
1. In a pan, fry semolina until it changes color. Transfer it to a plate.

B. Making Tadka:
1. Add oil to the pan, and add mustard seeds, chana dal and urad dal. Cook till well roasted.
2. Add one dry red chilli, and curry leaves.
3. Add onion, green chilli and ginger and cook till the onion is translucent pink.

C. Making Upma:
1. Add water to the tadka and bring to a boil.
2. Add sugar, salt and ghee.
3. Add the roasted semolina slowly to the water, while stirring continuously. Stir till all the water is absorbed.
4. Cover on low flame for 5 minutes, till the semolina puffs up.
5. Uncover the upma, adjust salt as per taste. 
6. Add lemon juice and coriander leaves as garnish."
Bread Upma,Breakfast,Bread,"A. For preparing the bread:
6 slices Bread, cut into small cubes

B. For preparing the tempering:
2 tbsp Oil
1 tsp Mustard seeds
1 tsp Cumin seeds (optional)
1/2 tsp Urad dal (split black gram)
1/2 tsp Chana dal (split Bengal gram)
A few Curry leaves
2 Green chilies, finely chopped
1 Onion, finely chopped
1 Tomato, finely chopped
1/4 tsp Turmeric powder
Salt to taste

C. For garnishing:
Fresh Coriander leaves, chopped
Lemon juice (optional)","A. Prepare the Bread:
1. Cut the bread slices into small cubes and set aside.

B. Prepare the Tempering:
1. Heat oil in a pan over medium heat.
2. Add mustard seeds and let them splutter.
3. Add cumin seeds, urad dal, and chana dal. Sauté until the dals turn golden brown.
4. Add curry leaves and chopped green chilies. Sauté for a few seconds.
5. Add finely chopped onion and cook until translucent.
6. Add chopped tomato, turmeric powder, and salt. Cook until the tomatoes soften.

C. Combine Bread with Tempering:
1. Add the bread cubes to the pan and mix gently to coat the bread with the spice mixture.
2. Cook for a few minutes until the bread absorbs the flavors and becomes slightly crispy.

D. Garnish and Serve:
1. Turn off the heat and garnish with chopped fresh coriander leaves.
2. Drizzle with lemon juice if desired."
Tomato toasters,Breakfast,Bread,"A. For preparing the filling:
1 medium Onion, finely chopped
1 medium Tomato, finely chopped
1-2 Green chilies, finely chopped
2 tbsp Fresh coriander leaves, chopped
Salt to taste
½ tsp Black pepper powder
½ tsp Chaat masala

B. For assembling the sandwich:
4 slices Bread (white or brown)
Butter as needed
Tomato ketchup or green chutney (optional)","A. Prepare the Filling:
1. In a mixing bowl, combine finely chopped onion, tomato, green chilies, and fresh coriander leaves.
2. Add salt, black pepper powder, and chaat masala. Mix well to combine all ingredients.

B. Assemble the Sandwich:
1. Take the bread slices and spread butter on one side of each slice.
2. Optionally, spread tomato ketchup or green chutney over the buttered side.
3. Place a generous amount of the prepared filling on the buttered side of two bread slices.
4. Cover with the remaining two bread slices, buttered side down, to form sandwiches.

C. Toast the Sandwich:
1. Heat a tawa or griddle over medium heat.
2. Place the assembled sandwiches on the tawa.
3. Toast until the bottom side turns golden brown and crispy.
4. Flip the sandwiches and toast the other side until equally golden and crispy.

D. Serve:
1. Remove the sandwiches from the tawa.
2. Cut them diagonally or as desired.
3. Serve hot with additional ketchup or chutney on the side."
Bread Pudla Besan Toast,Breakfast,Bread,"A. For preparing the batter:
1 cup Besan (chickpea flour)
¼ tsp Turmeric powder
¼ tsp Red chili powder
½ tsp Cumin seeds
½ tsp Ajwain (carom seeds)
Salt to taste
Water as needed
½ cup Onion, finely chopped

B. For assembling and cooking:
6-8 Bread slices
4 Green chilies, finely chopped
2 tbsp Fresh coriander leaves, chopped
1 tbsp Crushed ginger
Butter as needed
Cheese slices or shredded cheese (optional)

C. Accompaniments:
Sliced onions
","A. Prepare the Batter:
1. In a deep, flat bowl, combine besan, turmeric powder, red chili powder, cumin seeds, ajwain, and salt.
2. Gradually add water while whisking to form a smooth, thin batter without lumps.
3. Let the batter rest for 15 minutes.

B. C. Assemble and Cook the Bread Pudla:
1. Heat a flat griddle or tawa over medium heat and apply butter.
2. Dip a bread slice into the batter, coating both sides evenly, and place it on the hot griddle. 
3. Repeat with a second slice.
4. Spread coriander, green chili and ginger evenly over each bread slice, pressing gently to adhere.
5. Cook for 2-3 minutes or until the bottom turns golden brown.
6. Flip the bread slices carefully and cook the other side for another 2-3 minutes. Apply butter on top.
7. If using cheese, place a slice or sprinkle shredded cheese on one of the bread slices.
Combine the two bread slices to form a sandwich.
8. Continue cooking, flipping as needed, until both sides are crispy and the cheese has melted.

C. Serve:
1. Remove the sandwich from the griddle and cut it into desired pieces.
2. Serve hot with mint or tamarind chutney or tomato sauce and sliced onions"
Bombay Sandwich,Breakfast,Bread,"A. For sandwich masala:
2 tbsp Cumin seeds 
1 tbsp Black peppercorns
1 tbsp Fennel seeds
2 tsp Cloves
1/2 Star anise 
1 tsp Anardana powder
1 tbsp Mango powder
1 tsp Asafoetida
1/2 tsp Ginger powder
1 tbsp Black salt
2.5 tbsp Salt

B. For Sandwich Chutney:
1 bunch Coriander leaves
10-12 Green chillies
4-5 Garlic cloves
3-4 leaves Spinach leaves (blanched)
10-12 Curry leaves
1 tsp Sandwich masala
Salt to taste
1 Bread slice
1 Ice cube
Water as required


C: For making aloo masala
1 tbsp Oil
1 pinch Mustard seeds
1 pinch Cumin seeds
10-12 Curry leaves
2-3 Green chillies
1 tbsp Ginger garlic paste
1/2 tsp Turmeric powder
1 tsp Kashmiri red chilli powder
1 tsp Coriander powder
1 pinch Garam masala
1/4 tsp Asafoetida
1/4 cup Green peas
6 Potatoes, boiled
Salt to taste
1/2 Lemon, juiced 
Handful Coriander leaves 

D. Assembling the sandwich
6 Sandwich bread 
2 tsp Butter
1 Onion, sliced
1 Tomato, sliced
1 Capsicum, chopped
2 tbsp Cheese, grated","A. Making sandwich masala:
1. Roast all whole spices until fragrant
2. After they cool down, transfer the roasted spices to a grinding jar, and add the powdered spices and salt.
3. Grind it well into a fine powder. 

B. Making sandwich chutney:
1. Add all mentioned ingredients in a grinder and grind to a smooth paste

C. Making aloo masala:
1. Heat oil in a pan, and add mustard seeds, cumin seeds, curry leaves, chopped green chillies & ginger garlic paste. Cook till fragrant..
2. Lower the flame and add all the powdered spices. Mix well. 
3. Mash the green peas and boiled potaoes roughly, and add with salt. Stir well.
4. Mash mixture well. Add lemon juice and fresh coriander.

D. Assembling the sandwich:
1. Take the first bread slice and spread butter and chutney on its one side.
2. Add potato masala, and chopped onion on the buttered side. Sprinkle with sandwich masala.
3. Take another bread slice and spread butter and chutney on both sides.
4. Layer it on top of the sandwich, and top it with tomato, capsicum and sandwich masala. 
5. Add grated cheese if using.
6. Take a third bread slice, spread butter and chutney on its one side, and place it on top of the sandwich with the buttered side inside the sandwich.

E. Toast the Sandwich:
1. Heat a griddle or pan over medium heat.
2. Apply a little butter on the outside of the sandwich.
3. Place the sandwich on the griddle or in the toaster. Press with a plate on top to apply light pressure.
4. Flip and toast until both sides are golden brown and crispy."
Anda khandoli,Breakfast,Egg,"A. For preparing the egg mixture:
2 Eggs
2 tbsp Onion, finely chopped
1 Green chili, finely chopped
1 tbsp Fresh coriander leaves, chopped
Salt to taste
¼ tsp Red chili powder
¼ tsp Turmeric powder

B. For assembling and cooking:
2 slices Bread
1 tbsp Butter or oil","1. In a pan, add butter and crack the eggs gently as in a single fry (without mixing the yolks).
2. Add finely chopped onion, green chili, fresh coriander leaves, salt, red chili powder, and turmeric powder.
3. Break the yolk and then place bread slices on top of the egg mixture while it's still wet, pressing gently so they adhere.
4. Cook for a few minutes until the egg sets and turns golden brown on the bottom.
5. Carefully flip the entire assembly so that the bread slices are now on the bottom.
6. Add butter on the bottom of the bread, along with some onion, coriander leaves and red chilli
7. Cook the other side until the bread is toasted and golden brown."
Kayloli,Breakfast,Rice Flour,"A. For preparing the Kayloli batter:
1 cup Rice flour
1 cup Fresh coconut, grated
1 cup Jaggery, grated
1 cup Water
Salt to taste

B. For preparing the tomato chutney:
2 medium Tomatoes, chopped
1 small Onion, chopped
2-3 Green chilies, chopped
2 tbsp Fresh coriander leaves, chopped
Salt to taste
1 tsp Sugar (optional)","A. Prepare the Kayloli Batter:
1. In a mixing bowl, combine rice flour, grated fresh coconut, and grated jaggery.
2. Add water gradually to form a batter of pouring consistency.
3. Add salt to taste and mix well until the jaggery dissolves completely.

B. Cook the Kayloli:
1. Heat a non-stick pan or tawa over medium heat.
2. Pour a ladleful of the batter onto the pan and spread it gently to form a thick pancake.
3. Cover the pan with a lid and cook for a few minutes until the surface sets and the edges start to leave the pan.
4. Flip the Kayloli carefully and cook the other side until golden brown.
5. Remove from the pan and repeat the process with the remaining batter.

C. Prepare the Tomato Chutney:
1. In a bowl, combine chopped tomatoes, onion, green chilies, and fresh coriander leaves.
2. Add salt to taste and sugar if using.
3. Mix well and let it sit for about 10-15 minutes to allow the flavors to meld."
Adsara polo,Breakfast,Coconut,"A. For preparing the batter:

2 cups Raw rice
1 cup Freshly grated coconut
Salt to taste
Water as needed

B. For cooking the dosa:
Oil or ghee for greasing the pan
","A. Prepare the Batter:
1. Rinse the raw rice thoroughly under running water until the water runs clear.
2. Soak the rinsed rice in enough water for about 4 hours.
3. After soaking, drain the water from the rice.
4. In a blender, combine the soaked rice and freshly grated coconut.
5. Add water gradually and grind the mixture to a smooth batter of pouring consistency.
6. Add salt to taste and mix well to ensure even seasoning.

B. Cook the Adsara Polo:
1. Heat a non-stick tawa or griddle over medium heat.
2. Lightly grease the surface with oil or ghee to prevent sticking.
3. Pour a ladleful of the batter onto the center of the tawa.
4. Using the back of the ladle, spread the batter gently to form a slightly thick, circular pancake.
5. Cover the dosa with a lid and cook for a few minutes until the surface sets and the edges start to leave the pan.
6. Once the bottom turns golden brown, flip the dosa carefully.
7. Cook the other side for a minute until it's also golden brown.
8. Remove the cooked dosa from the tawa and transfer it to a plate.
9. Repeat the process with the remaining batter, greasing the tawa as needed.
"
Nuchi,Breakfast,Rice,"1 cup Raw rice
¼ tsp Fenugreek seeds
½ tsp Mustard seeds
1 tsp Urad dal (split black gram lentils)
3 Dry red chilies, broken into pieces
1 tbsp Coconut oil
1¼ tsp Salt, or to taste
2 cups Freshly grated coconut
4 cups Water","1. Wash and drain the raw rice thoroughly.
2. Heat a thick-bottomed pan or wok over medium heat and add coconut oil.
3. Once the oil is hot, add mustard seeds and allow them to splutter.
4. Add urad dal and sauté until it turns light brown.
5. Add fenugreek seeds and stir briefly.
6. Add the broken dry red chilies and sauté for a few seconds.
7. Pour in the water and add salt. Bring the mixture to a boil.
8. Once boiling, add the washed and drained rice. Stir well.
9. Reduce the heat to low, cover the pan with a lid, and let the rice cook, stirring occasionally to prevent sticking.
10. Once the rice is cooked and the water is fully absorbed (approximately 8 minutes), add the freshly grated coconut.
11. Mix thoroughly to combine the coconut with the rice. Serve hot"
Muga dali usli,Breakfast,Moong,"½ cup Moong dal (green gram)
1 tbsp Fresh or frozen coconut, grated
3-4 Green chilies, slit
½ tsp Mustard seeds
A pinch of Asafoetida (hing)
4-5 Curry leaves
1 tbsp Oil
Salt to taste
½ tsp Sugar (optional)","1. Heat oil in a pan over medium heat.
2. Add mustard seeds and allow them to splutter.
3. Add curry leaves, slit green chilies, and a pinch of asafoetida. Sauté briefly until aromatic.
4. Add the moong dal to the pan and fry for about 5 minutes, stirring occasionally.
5. Pour in approximately 2 cups of water and add salt to taste. Stir well.
6. Cover the pan with a lid and cook until the dal is tender but not mushy. Stir occasionally to prevent sticking.
7. Once the dal is cooked, add sugar if desired, and mix well.
8. Garnish with grated coconut and stir to combine.
9. Remove from heat and serve warm."